TOOL:	xrun	22.03-s012: Started on Oct 24, 2024 at 10:33:50 CDT
xrun: 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
xrun: *W,CSSF: HDL source files with -R option will be ignored.
Loading snapshot worklib.stimulus:v .................... Done
xcelium> source /opt/coe/cadence/XCELIUM/tools/xcelium/files/xmsimrc
xcelium> run
xmsim: *W,DVEXACC: some objects excluded from $dumpvars due to access restrictions, use +access+r on command line for access to all objects.
                 203Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 204Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 205Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:1 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 206Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 207Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 208Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:1 / T_byte:0, Clock:0, rst_b:1
                 209Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:1 / T_byte:0, Clock:1, rst_b:1
                 210Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 211Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 212Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 213Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 214Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 215Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 216Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:1, Clock:0, rst_b:1
                 217Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:1, Clock:1, rst_b:1
                 218Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 219Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 220Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 221Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 222Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 223Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 224Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 225Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 226Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 227Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 228Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 229Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 230Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 231Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 232Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 233Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 234Out:0 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 235Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 236Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 237Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 238Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 239Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 240Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 241Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 242Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 243Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 244Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 245Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
                 246Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:0, rst_b:1
                 247Out:1 <= Data_Bus:01000101 / Load_XMT_datareg:0 / Byte_ready:0 / T_byte:0, Clock:1, rst_b:1
Simulation complete via $finish(1) at time 248 NS + 0
./UART_tb.v:53 		$finish;//$stop;
xcelium> exit
TOOL:	xrun	22.03-s012: Exiting on Oct 24, 2024 at 10:33:52 CDT  (total: 00:00:02)
